car,parent,hash_hex,topspeed0,topspeed1,topspeed2,topspeed3,acceleration0,acceleration1,acceleration2,acceleration3,handling0,handling1,handling2,handling3,topspeed_source,acceleration_source,handling_source
sciontc,tuner,0xA420B33F,233.0,782.0,716.0,869.0,474.0,765.0,779.0,775.0,387.0,511.0,502.0,531.0,sciontc,sciontc,sciontc
scirocco,tuner,0x8AD2CEFD,205.0,782.0,716.0,877.0,290.0,732.0,797.0,765.0,144.0,338.0,304.0,324.0,scirocco,scirocco,scirocco
shlbysnake12,muscle,0xA79EA14D,590.0,887.0,784.0,916.0,815.0,882.0,879.0,867.0,604.0,700.0,851.0,640.0,shlbysnake12,shlbysnake12,shlbysnake12
silvias14a98,tuner,0x0C4254FA,160.0,650.0,600.0,700.0,110.0,600.0,700.0,650.0,135.0,700.0,650.0,600.0,silvias14a98,silvias14a98,silvias14a98
silvias15,tuner,0xDCC29F1B,153.0,784.0,721.0,876.0,172.0,777.0,821.0,779.0,313.0,436.0,416.0,420.0,silvias15,silvias15,silvias15
skyline,tuner,0xDBA80199,401.0,817.0,751.0,879.0,577.0,754.0,825.0,787.0,304.0,380.0,327.0,342.0,skyline,skyline,skyline
skyliner32,tuner,0x56B10EF0,380.0,817.0,751.0,880.0,569.0,742.0,826.0,773.0,293.0,396.0,344.0,378.0,skyliner32,skyliner32,skyliner32
skyliner35,tuner,0xFB5F2DE0,585.0,850.0,782.0,908.0,756.0,776.0,848.0,809.0,396.0,400.0,413.0,420.0,skyliner35,skyliner35,skyliner35
skyliner35v,tuner,0xED4EA957,595.0,897.0,781.0,909.0,817.0,814.0,903.0,849.0,524.0,524.0,513.0,513.0,skyliner35v,skyliner35v,skyliner35v
slr722,exotic,0xD209600D,589.0,885.0,787.0,919.0,803.0,866.0,866.0,868.0,578.0,544.0,542.0,542.0,slr722,slr722,slr722
solsticegxp,tuner,0x373DFD47,230.0,790.0,720.0,868.0,474.0,784.0,819.0,810.0,367.0,482.0,442.0,476.0,solsticegxp,solsticegxp,solsticegxp
supra,tuner,0x66F13434,394.0,819.0,746.0,881.0,537.0,829.0,828.0,821.0,358.0,367.0,371.0,369.0,supra,supra,supra
terlingua,muscle,0xC4A58F97,393.0,818.0,752.0,880.0,667.0,848.0,846.0,821.0,520.0,676.0,736.0,618.0,terlingua,terlingua,terlingua
ttrs10,tuner,0xE0226544,396.0,820.0,759.0,886.0,598.0,738.0,813.0,797.0,291.0,316.0,269.0,269.0,ttrs10,ttrs10,ttrs10
urquattro,tuner,0x84098C08,401.0,814.0,752.0,875.0,598.0,848.0,846.0,842.0,449.0,542.0,584.0,589.0,urquattro,urquattro,urquattro
vantagev12,exotic,0xB40A38B3,601.0,885.0,788.0,918.0,802.0,879.0,875.0,874.0,520.0,544.0,556.0,544.0,vantagev12,vantagev12,vantagev12
viperelite,muscle,0x847E376D,591.0,892.0,787.0,920.0,829.0,886.0,893.0,887.0,618.0,631.0,647.0,582.0,viperelite,viperelite,viperelite
vipersrt,muscle,0xDA32E496,584.0,892.0,787.0,920.0,718.0,817.0,819.0,811.0,300.0,393.0,344.0,358.0,vipersrt,vipersrt,vipersrt
vipersrt_escape,vipersrt,0x35083BAD,584.0,892.0,786.0,921.0,706.0,791.0,801.0,784.0,158.0,189.0,171.0,147.0,vipersrt_escape,vipersrt_escape,vipersrt_escape
z06carbon,muscle,0x64514795,590.0,890.0,780.0,920.0,848.0,927.0,923.0,921.0,500.0,402.0,422.0,422.0,z06carbon,z06carbon,z06carbon
z4,exotic,0xFC4573BB,307.0,816.0,753.0,876.0,415.0,773.0,841.0,776.0,364.0,467.0,396.0,396.0,z4,z4,z4
zl1world100,muscle,0xD032F2CE,406.0,818.0,755.0,878.0,559.0,763.0,771.0,765.0,527.0,562.0,540.0,542.0,zl1world100,zl1world100,zl1world100
zonda,exotic,0xAD54F689,590.0,890.0,782.0,919.0,838.0,899.0,931.0,937.0,662.0,689.0,684.0,664.0,zonda,zonda,zonda
zondaroadster,exotic,0xC57E3786,590.0,890.0,781.0,920.0,842.0,906.0,907.0,919.0,609.0,507.0,516.0,531.0,zondaroadster,zondaroadster,zondaroadster
